Estimate,Est.Error,Q2.5,Q97.5,Group,WeeksNom,TimeNom,Diet,Sex,Geno,Time,Weeks
8.385581104137444,0.9712511858134459,6.476744197692858,10.290087625931,HetCre.Female.HFD,9,0,HFD,Female,HetCre,0,9
26.686506353441455,1.0189553416747057,24.693267722883665,28.68577455596775,HetCre.Female.HFD,9,15,HFD,Female,HetCre,15,9
22.767490650710528,1.0966317258547809,20.61266112900123,24.912465104453513,HetCre.Female.HFD,9,30,HFD,Female,HetCre,30,9
13.708082644903092,1.1161215848253927,11.51984812570658,15.890947641071202,HetCre.Female.HFD,9,60,HFD,Female,HetCre,60,9
11.384726211817902,1.062849598315659,9.30470988489874,13.473503657476861,HetCre.Female.HFD,9,90,HFD,Female,HetCre,90,9
9.135702347306323,1.0099812964149184,7.159318468123182,11.125262814330625,HetCre.Female.HFD,9,120,HFD,Female,HetCre,120,9
9.59578798968717,1.064007430858368,7.509804496340065,11.680965938409695,HetCre.Female.HFD,21,0,HFD,Female,HetCre,0,21
24.487992112148063,1.1129107887347909,22.31493647974536,26.676752580323377,HetCre.Female.HFD,21,15,HFD,Female,HetCre,15,21
23.98083969530976,1.1916094055016446,21.65934332450803,26.3142177366458,HetCre.Female.HFD,21,30,HFD,Female,HetCre,30,21
17.821943022637534,1.214416427485481,15.44416626838025,20.202153739479833,HetCre.Female.HFD,21,60,HFD,Female,HetCre,60,21
15.907588398262059,1.1589914945828474,13.64943650324939,18.18143793532143,HetCre.Female.HFD,21,90,HFD,Female,HetCre,90,21
12.327227754737219,1.105445490984387,10.1638291845523,14.494299769627657,HetCre.Female.HFD,21,120,HFD,Female,HetCre,120,21
10.437332352348617,1.0028410536857464,8.465335872971707,12.398667793316587,HetCre.Female.HFD,39,0,HFD,Female,HetCre,0,39
26.611194799005094,1.136581936861464,24.372786276657052,28.82896829946341,HetCre.Female.HFD,39,15,HFD,Female,HetCre,15,39
28.372560961037294,1.3283936478321172,25.778176006838372,30.981008190060617,HetCre.Female.HFD,39,30,HFD,Female,HetCre,30,39
24.204717188521002,1.3233922773753999,21.565444980158556,26.74743927599811,HetCre.Female.HFD,39,60,HFD,Female,HetCre,60,39
21.259251430834514,1.1867155252117951,18.961967897079067,23.61905947706927,HetCre.Female.HFD,39,90,HFD,Female,HetCre,90,39
18.90067274765281,1.0898502412993742,16.785007996413253,21.058113476471,HetCre.Female.HFD,39,120,HFD,Female,HetCre,120,39
9.670162498741673,1.102408881685922,7.513141833084973,11.83143378497148,HetCre.Female.HFD,54,0,HFD,Female,HetCre,0,54
28.13315770986328,1.2697119991840409,25.63673420292382,30.6088131091083,HetCre.Female.HFD,54,15,HFD,Female,HetCre,15,54
25.296397856908943,1.3044855168570553,22.74433719344737,27.857415268541708,HetCre.Female.HFD,54,30,HFD,Female,HetCre,30,54
17.888343211782082,1.247001974335821,15.450618293207077,20.34050608703804,HetCre.Female.HFD,54,60,HFD,Female,HetCre,60,54
14.656893153066594,1.1916256599110873,12.322228175638811,16.990790044521805,HetCre.Female.HFD,54,90,HFD,Female,HetCre,90,54
12.039232842984095,1.1435558517181184,9.799533536352435,14.28505001626971,HetCre.Female.HFD,54,120,HFD,Female,HetCre,120,54
9.08828212318283,1.0350841777009674,7.055535387034713,11.118742775548569,HetCre.Male.HFD,9,0,HFD,Male,HetCre,0,9
24.356424999637255,1.0824874349748643,22.230429304533175,26.47755590211818,HetCre.Male.HFD,9,15,HFD,Male,HetCre,15,9
25.972120083090033,1.2303103086684002,23.56229035934548,28.373249063605744,HetCre.Male.HFD,9,30,HFD,Male,HetCre,30,9
21.26478029253125,1.2385953800060199,18.81820246227384,23.6837366634053,HetCre.Male.HFD,9,60,HFD,Male,HetCre,60,9
17.266678608771954,1.1265645467207797,15.059931096401291,19.47005395120293,HetCre.Male.HFD,9,90,HFD,Male,HetCre,90,9
13.509778513814377,1.074766634397187,11.397194233199262,15.612445668000909,HetCre.Male.HFD,9,120,HFD,Male,HetCre,120,9
12.667300017570033,1.0389652427467029,10.629848952837728,14.706265119634944,HetCre.Male.HFD,25,0,HFD,Male,HetCre,0,21
24.594276034867367,1.0805687570332023,22.473955756757366,26.714657316361787,HetCre.Male.HFD,25,15,HFD,Male,HetCre,15,21
24.574249950652675,1.1595301490186205,22.296033772801938,26.850579138604605,HetCre.Male.HFD,25,30,HFD,Male,HetCre,30,21
20.918528558091992,1.1856843936118289,18.585558680945024,23.236605439511905,HetCre.Male.HFD,25,60,HFD,Male,HetCre,60,21
18.099891697357716,1.1237779783566442,15.891946795859582,20.305831134556637,HetCre.Male.HFD,25,90,HFD,Male,HetCre,90,21
14.837418086813093,1.0739120275672889,12.730536066792494,16.937190746658686,HetCre.Male.HFD,25,120,HFD,Male,HetCre,120,21
9.865684391048932,0.9493723601139289,7.999101988370415,11.71468227819133,HetCre.Male.HFD,39,0,HFD,Male,HetCre,0,39
22.52288223619169,0.9959471511077224,20.56178071061883,24.473859611587656,HetCre.Male.HFD,39,15,HFD,Male,HetCre,15,39
20.61464943666345,1.1064683863173732,18.451099317281777,22.79230664643419,HetCre.Male.HFD,39,30,HFD,Male,HetCre,30,39
15.906539163058065,1.0946628823485545,13.75957142357531,18.057198334793203,HetCre.Male.HFD,39,60,HFD,Male,HetCre,60,39
13.447616782017969,1.0382454607201084,11.414965256517599,15.481819682772441,HetCre.Male.HFD,39,90,HFD,Male,HetCre,90,39
12.603161378814523,0.9826677622289236,10.68310966587705,14.53026382137316,HetCre.Male.HFD,39,120,HFD,Male,HetCre,120,39
