Estimate,Est.Error,Q2.5,Q97.5,Group,WeeksNom,TimeNom,Diet,Sex,Geno,Time,Weeks
7.498160252578805,0.736353008289408,6.055471752245324,8.93363303665155,HetCre.Female.LFD,4,0,LFD,Female,HetCre,0,4
15.988395260991716,0.7613752564290359,14.495078501321059,17.47985689000071,HetCre.Female.LFD,4,15,LFD,Female,HetCre,15,4
11.619662618394566,0.7638885829054372,10.11816051971593,13.11848888768604,HetCre.Female.LFD,4,30,LFD,Female,HetCre,30,4
8.777611308872887,0.7615894717778149,7.283794084977966,10.261537507540986,HetCre.Female.LFD,4,60,LFD,Female,HetCre,60,4
8.81941076373833,0.7648010474906226,7.318466369479693,10.320377537366774,HetCre.Female.LFD,4,90,LFD,Female,HetCre,90,4
8.703036875977627,0.7650590574528044,7.1997143344299355,10.206140952413604,HetCre.Female.LFD,4,120,LFD,Female,HetCre,120,4
9.316786985982187,0.6115161262324187,8.120813815580357,10.521334702791036,HetCre.Female.LFD,9,0,LFD,Female,HetCre,0,9
20.617079949180702,0.6179307393075584,19.414923178958176,21.8310533826484,HetCre.Female.LFD,9,15,LFD,Female,HetCre,15,9
14.193176866384565,0.6164239466114291,12.985074120381212,15.404334091156906,HetCre.Female.LFD,9,30,LFD,Female,HetCre,30,9
10.617880378529348,0.6176884533685134,9.407363936743536,11.831862759942563,HetCre.Female.LFD,9,60,LFD,Female,HetCre,60,9
9.513973651871776,0.6153250672083365,8.309537903940114,10.72352674862523,HetCre.Female.LFD,9,90,LFD,Female,HetCre,90,9
9.094901596826244,0.6160965900817645,7.887372903582522,10.300354778403948,HetCre.Female.LFD,9,120,LFD,Female,HetCre,120,9
8.776353740563529,0.7634368294075939,7.283978983653854,10.271877463542335,HetCre.Female.LFD,21,0,LFD,Female,HetCre,0,21
17.282497791868664,0.7794420131371526,15.753447866611081,18.808263550179536,HetCre.Female.LFD,21,15,LFD,Female,HetCre,15,21
12.23317334994594,0.7794474335691529,10.70980639262956,13.765323600675769,HetCre.Female.LFD,21,30,LFD,Female,HetCre,30,21
10.800012530030504,0.7799597108541605,9.262714967495945,12.324898457913276,HetCre.Female.LFD,21,60,LFD,Female,HetCre,60,21
9.28750689685608,0.7759641694909963,7.763752601500195,10.811374557768287,HetCre.Female.LFD,21,90,LFD,Female,HetCre,90,21
8.939408975733105,0.7780355234842188,7.421820970652397,10.46833644982612,HetCre.Female.LFD,21,120,LFD,Female,HetCre,120,21
8.7426578076985,0.8179086853911861,7.140611816867767,10.343617313026263,HetCre.Female.LFD,39,0,LFD,Female,HetCre,0,39
18.99336767580342,0.8334844210323801,17.353020330179447,20.62961983066406,HetCre.Female.LFD,39,15,LFD,Female,HetCre,15,39
15.68729978149379,0.8319049298020558,14.057788882342365,17.31708047236669,HetCre.Female.LFD,39,30,LFD,Female,HetCre,30,39
12.567718055745587,0.8368907834868756,10.921760212728348,14.204949697618586,HetCre.Female.LFD,39,60,LFD,Female,HetCre,60,39
11.574190219189674,0.8321632014936142,9.944288282166976,13.208806173207325,HetCre.Female.LFD,39,90,LFD,Female,HetCre,90,39
10.310789477578998,0.8327315991772535,8.676975834450927,11.944153981517314,HetCre.Female.LFD,39,120,LFD,Female,HetCre,120,39
9.43731508896594,0.7027683454577885,8.05589203559791,10.812907134915138,HetCre.Male.LFD,4,0,LFD,Male,HetCre,0,4
22.25322587600031,0.7070956924975542,20.87075084487916,23.64737858740168,HetCre.Male.LFD,4,15,LFD,Male,HetCre,15,4
16.68021850683358,0.7060767122274195,15.296019614036034,18.056170588662674,HetCre.Male.LFD,4,30,LFD,Male,HetCre,30,4
12.02498966819563,0.7079192559613594,10.639836853979261,13.41303164476037,HetCre.Male.LFD,4,60,LFD,Male,HetCre,60,4
11.497542123364656,0.7077516248757584,10.113376080352195,12.896398669628917,HetCre.Male.LFD,4,90,LFD,Male,HetCre,90,4
10.134221661034358,0.7050288691235475,8.748039393778718,11.52045625545881,HetCre.Male.LFD,4,120,LFD,Male,HetCre,120,4
9.382206397141916,0.5859828151487778,8.234912455482156,10.531724397381629,HetCre.Male.LFD,9,0,LFD,Male,HetCre,0,9
23.246067974831174,0.5860153667901103,22.093991502149763,24.391971050724177,HetCre.Male.LFD,9,15,LFD,Male,HetCre,15,9
19.993100697479505,0.5897895819241525,18.836352094316467,21.144881047792182,HetCre.Male.LFD,9,30,LFD,Male,HetCre,30,9
14.34743550140259,0.5866457205306552,13.196452539243692,15.500268496417014,HetCre.Male.LFD,9,60,LFD,Male,HetCre,60,9
11.837224848751912,0.5882917387599127,10.68721143647185,12.997219908945256,HetCre.Male.LFD,9,90,LFD,Male,HetCre,90,9
10.964023069362481,0.5889384457525019,9.809546157696204,12.118761544425073,HetCre.Male.LFD,9,120,LFD,Male,HetCre,120,9
10.158458452269029,0.8024995094570844,8.595425223832638,11.732106382889796,HetCre.Male.LFD,21,0,LFD,Male,HetCre,0,21
24.11950763646581,0.803262967605334,22.540225988702716,25.6907290736857,HetCre.Male.LFD,21,15,LFD,Male,HetCre,15,21
20.95512427289924,0.9185096450354292,19.076102542192054,22.68810852909953,HetCre.Male.LFD,21,30,LFD,Male,HetCre,30,21
17.20479390599407,0.8091190218169213,15.615913836549193,18.784547922594296,HetCre.Male.LFD,21,60,LFD,Male,HetCre,60,21
14.183004903884681,0.7988093612405653,12.620346853986007,15.748153870301076,HetCre.Male.LFD,21,90,LFD,Male,HetCre,90,21
12.69362050312394,0.8033133431691377,11.111683629338795,14.267690373661504,HetCre.Male.LFD,21,120,LFD,Male,HetCre,120,21
